Train for 937 steps, validate for 117 steps
 55/937 [>.............................] - ETA: 13:41 - loss: 1.1104 - accuracy: 0.7212For batch 55, loss is  0.0977.
 56/937 [>.............................] - ETA: 13:38 - loss: 1.0923 - accuracy: 0.7255For batch 56, loss is  0.0846.
 57/937 [>.............................] - ETA: 13:36 - loss: 1.0747 - accuracy: 0.7301For batch 57, loss is  0.1370.
 58/937 [>.............................] - ETA: 13:34 - loss: 1.0585 - accuracy: 0.7340For batch 58, loss is  0.1214.
 59/937 [>.............................] - ETA: 13:32 - loss: 1.0426 - accuracy: 0.7377For batch 59, loss is  0.1795.
 60/937 [>.............................] - ETA: 13:30 - loss: 1.0282 - accuracy: 0.7409For batch 60, loss is  0.1077.
 61/937 [>.............................] - ETA: 13:28 - loss: 1.0131 - accuracy: 0.7444For batch 61, loss is  0.1244.
 62/937 [>.............................] - ETA: 13:26 - loss: 0.9988 - accuracy: 0.7478For batch 62, loss is  0.0868.
 63/937 [=>............................] - ETA: 13:24 - loss: 0.9843 - accuracy: 0.7512For batch 63, loss is  0.2358.
 64/937 [=>............................] - ETA: 13:22 - loss: 0.9726 - accuracy: 0.7540For batch 64, loss is  0.1181.
 65/937 [=>............................] - ETA: 13:20 - loss: 0.9595 - accuracy: 0.7568For batch 65, loss is  0.0828.
 66/937 [=>............................] - ETA: 13:18 - loss: 0.9462 - accuracy: 0.7601For batch 66, loss is  0.0507.
 67/937 [=>............................] - ETA: 13:17 - loss: 0.9328 - accuracy: 0.7634For batch 67, loss is  0.1066.
 68/937 [=>............................] - ETA: 13:15 - loss: 0.9207 - accuracy: 0.7661For batch 68, loss is  0.0574.
 69/937 [=>............................] - ETA: 13:13 - loss: 0.9082 - accuracy: 0.7692For batch 69, loss is  0.0926.
 70/937 [=>............................] - ETA: 13:11 - loss: 0.8965 - accuracy: 0.7720For batch 70, loss is  0.0779.
 71/937 [=>............................] - ETA: 13:10 - loss: 0.8850 - accuracy: 0.7750For batch 71, loss is  0.0584.
 72/937 [=>............................] - ETA: 13:08 - loss: 0.8735 - accuracy: 0.7778For batch 72, loss is  0.0308.
 73/937 [=>............................] - ETA: 13:06 - loss: 0.8620 - accuracy: 0.7807For batch 73, loss is  0.0603.
 74/937 [=>............................] - ETA: 13:05 - loss: 0.8511 - accuracy: 0.7834For batch 74, loss is  0.0335.
 75/937 [=>............................] - ETA: 13:03 - loss: 0.8402 - accuracy: 0.7861For batch 75, loss is  0.0750.
 76/937 [=>............................] - ETA: 13:02 - loss: 0.8302 - accuracy: 0.7885For batch 76, loss is  0.0390.
 77/937 [=>............................] - ETA: 13:00 - loss: 0.8199 - accuracy: 0.7911For batch 77, loss is  0.0341.
 78/937 [=>............................] - ETA: 12:59 - loss: 0.8098 - accuracy: 0.7935For batch 78, loss is  0.0353.
 79/937 [=>............................] - ETA: 12:57 - loss: 0.8000 - accuracy: 0.7960For batch 79, loss is  0.0366.
 80/937 [=>............................] - ETA: 12:56 - loss: 0.7905 - accuracy: 0.7983For batch 80, loss is  0.0566.
 81/937 [=>............................] - ETA: 12:54 - loss: 0.7814 - accuracy: 0.8006For batch 81, loss is  0.0406.
 82/937 [=>............................] - ETA: 12:53 - loss: 0.7724 - accuracy: 0.8030For batch 82, loss is  0.0772.
 83/937 [=>............................] - ETA: 12:51 - loss: 0.7640 - accuracy: 0.8051For batch 83, loss is  0.0255.
 84/937 [=>............................] - ETA: 12:50 - loss: 0.7552 - accuracy: 0.8072For batch 84, loss is  0.0705.
 85/937 [=>............................] - ETA: 12:48 - loss: 0.7471 - accuracy: 0.8093For batch 85, loss is  0.0438.
 86/937 [=>............................] - ETA: 12:47 - loss: 0.7390 - accuracy: 0.8114For batch 86, loss is  0.0701.
 87/937 [=>............................] - ETA: 12:46 - loss: 0.7313 - accuracy: 0.8131For batch 87, loss is  0.0194.
 88/937 [=>............................] - ETA: 12:44 - loss: 0.7232 - accuracy: 0.8151For batch 88, loss is  0.0397.
 89/937 [=>............................] - ETA: 12:43 - loss: 0.7155 - accuracy: 0.8170For batch 89, loss is  0.0207.
 90/937 [=>............................] - ETA: 12:42 - loss: 0.7078 - accuracy: 0.8189For batch 90, loss is  0.0460.
 91/937 [=>............................] - ETA: 12:40 - loss: 0.7005 - accuracy: 0.8207For batch 91, loss is  0.0186.
 92/937 [=>............................] - ETA: 12:39 - loss: 0.6931 - accuracy: 0.8226For batch 92, loss is  0.1206.
 93/937 [=>............................] - ETA: 12:37 - loss: 0.6869 - accuracy: 0.8243For batch 93, loss is  0.0333.
 94/937 [==>...........................] - ETA: 12:36 - loss: 0.6800 - accuracy: 0.8260For batch 94, loss is  0.0412.
 95/937 [==>...........................] - ETA: 12:35 - loss: 0.6733 - accuracy: 0.8278For batch 95, loss is  0.1203.
 96/937 [==>...........................] - ETA: 12:34 - loss: 0.6675 - accuracy: 0.8291For batch 96, loss is  0.0299.
 97/937 [==>...........................] - ETA: 12:32 - loss: 0.6609 - accuracy: 0.8307For batch 97, loss is  0.0346.
 98/937 [==>...........................] - ETA: 12:31 - loss: 0.6545 - accuracy: 0.8324For batch 98, loss is  0.0479.
 99/937 [==>...........................] - ETA: 12:30 - loss: 0.6484 - accuracy: 0.8338For batch 99, loss is  0.0553.
100/937 [==>...........................] - ETA: 12:29 - loss: 0.6425 - accuracy: 0.8353For batch 100, loss is  0.0407.
101/937 [==>...........................] - ETA: 12:27 - loss: 0.6365 - accuracy: 0.8368For batch 101, loss is  0.0351.
102/937 [==>...........................] - ETA: 12:26 - loss: 0.6306 - accuracy: 0.8382For batch 102, loss is  0.0286.
103/937 [==>...........................] - ETA: 12:25 - loss: 0.6248 - accuracy: 0.8397For batch 103, loss is  0.0330.
104/937 [==>...........................] - ETA: 12:24 - loss: 0.6191 - accuracy: 0.8411For batch 104, loss is  0.0272.
105/937 [==>...........................] - ETA: 12:22 - loss: 0.6135 - accuracy: 0.8424For batch 105, loss is  0.0160.
106/937 [==>...........................] - ETA: 12:21 - loss: 0.6078 - accuracy: 0.8439For batch 106, loss is  0.0361.
107/937 [==>...........................] - ETA: 12:20 - loss: 0.6025 - accuracy: 0.8452For batch 107, loss is  0.0660.
108/937 [==>...........................] - ETA: 12:19 - loss: 0.5975 - accuracy: 0.8465For batch 108, loss is  0.0404.
109/937 [==>...........................] - ETA: 12:18 - loss: 0.5924 - accuracy: 0.8478For batch 109, loss is  0.0513.
110/937 [==>...........................] - ETA: 12:16 - loss: 0.5875 - accuracy: 0.8490For batch 110, loss is  0.0157.
111/937 [==>...........................] - ETA: 12:15 - loss: 0.5823 - accuracy: 0.8504For batch 111, loss is  0.0181.
112/937 [==>...........................] - ETA: 12:14 - loss: 0.5773 - accuracy: 0.8516For batch 112, loss is  0.0190.
113/937 [==>...........................] - ETA: 12:13 - loss: 0.5724 - accuracy: 0.8529For batch 113, loss is  0.0235.
114/937 [==>...........................] - ETA: 12:12 - loss: 0.5675 - accuracy: 0.8541For batch 114, loss is  0.0406.
115/937 [==>...........................] - ETA: 12:10 - loss: 0.5630 - accuracy: 0.8553For batch 115, loss is  0.0467.
116/937 [==>...........................] - ETA: 12:09 - loss: 0.5585 - accuracy: 0.8564For batch 116, loss is  0.0385.
117/937 [==>...........................] - ETA: 12:08 - loss: 0.5541 - accuracy: 0.8575For batch 117, loss is  0.0323.
118/937 [==>...........................] - ETA: 12:07 - loss: 0.5496 - accuracy: 0.8585For batch 118, loss is  0.0664.
119/937 [==>...........................] - ETA: 12:06 - loss: 0.5456 - accuracy: 0.8595For batch 119, loss is  0.0201.
120/937 [==>...........................] - ETA: 12:05 - loss: 0.5412 - accuracy: 0.8606For batch 120, loss is  0.0214.
121/937 [==>...........................] - ETA: 12:04 - loss: 0.5369 - accuracy: 0.8617For batch 121, loss is  0.0270.
122/937 [==>...........................] - ETA: 12:02 - loss: 0.5327 - accuracy: 0.8627For batch 122, loss is  0.1110.
123/937 [==>...........................] - ETA: 12:01 - loss: 0.5293 - accuracy: 0.8637For batch 123, loss is  0.1096.
