Train for 937 steps, validate for 117 steps
 55/937 [>.............................] - ETA: 9:33 - loss: 0.2519 - accuracy: 0.8715For batch 55, loss is  0.0119.
 56/937 [>.............................] - ETA: 9:31 - loss: 0.2476 - accuracy: 0.8738For batch 56, loss is  0.0275.
 57/937 [>.............................] - ETA: 9:28 - loss: 0.2437 - accuracy: 0.8758For batch 57, loss is  0.0319.
 58/937 [>.............................] - ETA: 9:26 - loss: 0.2401 - accuracy: 0.8776For batch 58, loss is  0.0173.
 59/937 [>.............................] - ETA: 9:23 - loss: 0.2363 - accuracy: 0.8795For batch 59, loss is  0.0222.
 60/937 [>.............................] - ETA: 9:21 - loss: 0.2327 - accuracy: 0.8814For batch 60, loss is  0.0359.
 61/937 [>.............................] - ETA: 9:19 - loss: 0.2295 - accuracy: 0.8832For batch 61, loss is  0.0376.
 62/937 [>.............................] - ETA: 9:17 - loss: 0.2264 - accuracy: 0.8848For batch 62, loss is  0.0394.
 63/937 [=>............................] - ETA: 9:14 - loss: 0.2234 - accuracy: 0.8865For batch 63, loss is  0.0214.
 64/937 [=>............................] - ETA: 9:12 - loss: 0.2203 - accuracy: 0.8882For batch 64, loss is  0.0489.
 65/937 [=>............................] - ETA: 9:10 - loss: 0.2176 - accuracy: 0.8897For batch 65, loss is  0.0335.
 66/937 [=>............................] - ETA: 9:08 - loss: 0.2148 - accuracy: 0.8912For batch 66, loss is  0.0242.
 67/937 [=>............................] - ETA: 9:06 - loss: 0.2120 - accuracy: 0.8927For batch 67, loss is  0.0150.
 68/937 [=>............................] - ETA: 9:04 - loss: 0.2091 - accuracy: 0.8942For batch 68, loss is  0.0388.
 69/937 [=>............................] - ETA: 9:02 - loss: 0.2066 - accuracy: 0.8956For batch 69, loss is  0.0157.
 70/937 [=>............................] - ETA: 9:01 - loss: 0.2039 - accuracy: 0.8970For batch 70, loss is  0.0302.
 71/937 [=>............................] - ETA: 8:59 - loss: 0.2015 - accuracy: 0.8983For batch 71, loss is  0.0322.
 72/937 [=>............................] - ETA: 8:57 - loss: 0.1991 - accuracy: 0.8996For batch 72, loss is  0.0267.
 73/937 [=>............................] - ETA: 8:56 - loss: 0.1967 - accuracy: 0.9008For batch 73, loss is  0.0110.
 74/937 [=>............................] - ETA: 8:54 - loss: 0.1942 - accuracy: 0.9021For batch 74, loss is  0.0185.
 75/937 [=>............................] - ETA: 8:52 - loss: 0.1919 - accuracy: 0.9033For batch 75, loss is  0.0215.
 76/937 [=>............................] - ETA: 8:51 - loss: 0.1897 - accuracy: 0.9045For batch 76, loss is  0.0103.
 77/937 [=>............................] - ETA: 8:49 - loss: 0.1873 - accuracy: 0.9057For batch 77, loss is  0.0120.
 78/937 [=>............................] - ETA: 8:48 - loss: 0.1851 - accuracy: 0.9069For batch 78, loss is  0.0114.
 79/937 [=>............................] - ETA: 8:46 - loss: 0.1829 - accuracy: 0.9080For batch 79, loss is  0.0204.
 80/937 [=>............................] - ETA: 8:44 - loss: 0.1808 - accuracy: 0.9090For batch 80, loss is  0.0238.
 81/937 [=>............................] - ETA: 8:43 - loss: 0.1789 - accuracy: 0.9100For batch 81, loss is  0.0371.
 82/937 [=>............................] - ETA: 8:42 - loss: 0.1772 - accuracy: 0.9110For batch 82, loss is  0.0208.
 83/937 [=>............................] - ETA: 8:40 - loss: 0.1753 - accuracy: 0.9119For batch 83, loss is  0.0177.
 84/937 [=>............................] - ETA: 8:39 - loss: 0.1734 - accuracy: 0.9129For batch 84, loss is  0.0256.
 85/937 [=>............................] - ETA: 8:37 - loss: 0.1717 - accuracy: 0.9138For batch 85, loss is  0.0154.
 86/937 [=>............................] - ETA: 8:36 - loss: 0.1699 - accuracy: 0.9148For batch 86, loss is  0.0288.
 87/937 [=>............................] - ETA: 8:34 - loss: 0.1682 - accuracy: 0.9156For batch 87, loss is  0.0386.
 88/937 [=>............................] - ETA: 8:33 - loss: 0.1668 - accuracy: 0.9165For batch 88, loss is  0.0076.
 89/937 [=>............................] - ETA: 8:32 - loss: 0.1650 - accuracy: 0.9174For batch 89, loss is  0.0136.
 90/937 [=>............................] - ETA: 8:31 - loss: 0.1633 - accuracy: 0.9183For batch 90, loss is  0.0199.
 91/937 [=>............................] - ETA: 8:29 - loss: 0.1617 - accuracy: 0.9191For batch 91, loss is  0.0328.
 92/937 [=>............................] - ETA: 8:28 - loss: 0.1603 - accuracy: 0.9199For batch 92, loss is  0.0093.
 93/937 [=>............................] - ETA: 8:27 - loss: 0.1587 - accuracy: 0.9207For batch 93, loss is  0.0428.
 94/937 [==>...........................] - ETA: 8:25 - loss: 0.1575 - accuracy: 0.9214For batch 94, loss is  0.0149.
 95/937 [==>...........................] - ETA: 8:24 - loss: 0.1560 - accuracy: 0.9222For batch 95, loss is  0.0259.
 96/937 [==>...........................] - ETA: 8:23 - loss: 0.1546 - accuracy: 0.9229For batch 96, loss is  0.0063.
 97/937 [==>...........................] - ETA: 8:22 - loss: 0.1531 - accuracy: 0.9236For batch 97, loss is  0.0261.
 98/937 [==>...........................] - ETA: 8:20 - loss: 0.1518 - accuracy: 0.9243For batch 98, loss is  0.0154.
 99/937 [==>...........................] - ETA: 8:19 - loss: 0.1504 - accuracy: 0.9251For batch 99, loss is  0.0137.
100/937 [==>...........................] - ETA: 8:18 - loss: 0.1490 - accuracy: 0.9257For batch 100, loss is  0.0453.
101/937 [==>...........................] - ETA: 8:17 - loss: 0.1480 - accuracy: 0.9264For batch 101, loss is  0.0232.
102/937 [==>...........................] - ETA: 8:16 - loss: 0.1468 - accuracy: 0.9271For batch 102, loss is  0.0198.
103/937 [==>...........................] - ETA: 8:15 - loss: 0.1456 - accuracy: 0.9277For batch 103, loss is  0.0230.
104/937 [==>...........................] - ETA: 8:13 - loss: 0.1444 - accuracy: 0.9283For batch 104, loss is  0.0240.
105/937 [==>...........................] - ETA: 8:12 - loss: 0.1432 - accuracy: 0.9289For batch 105, loss is  0.0150.
106/937 [==>...........................] - ETA: 8:11 - loss: 0.1420 - accuracy: 0.9295For batch 106, loss is  0.0141.
107/937 [==>...........................] - ETA: 8:10 - loss: 0.1408 - accuracy: 0.9301For batch 107, loss is  0.0091.
108/937 [==>...........................] - ETA: 8:09 - loss: 0.1396 - accuracy: 0.9308For batch 108, loss is  0.0079.
109/937 [==>...........................] - ETA: 8:08 - loss: 0.1384 - accuracy: 0.9314For batch 109, loss is  0.0450.
110/937 [==>...........................] - ETA: 8:07 - loss: 0.1375 - accuracy: 0.9319For batch 110, loss is  0.0199.
111/937 [==>...........................] - ETA: 8:06 - loss: 0.1365 - accuracy: 0.9324For batch 111, loss is  0.0058.
112/937 [==>...........................] - ETA: 8:05 - loss: 0.1353 - accuracy: 0.9330For batch 112, loss is  0.0141.
113/937 [==>...........................] - ETA: 8:04 - loss: 0.1342 - accuracy: 0.9335For batch 113, loss is  0.0154.
114/937 [==>...........................] - ETA: 8:03 - loss: 0.1332 - accuracy: 0.9340For batch 114, loss is  0.0581.
115/937 [==>...........................] - ETA: 8:02 - loss: 0.1326 - accuracy: 0.9344For batch 115, loss is  0.0244.
116/937 [==>...........................] - ETA: 8:01 - loss: 0.1316 - accuracy: 0.9349For batch 116, loss is  0.0031.
117/937 [==>...........................] - ETA: 8:00 - loss: 0.1305 - accuracy: 0.9355For batch 117, loss is  0.0138.
118/937 [==>...........................] - ETA: 7:59 - loss: 0.1295 - accuracy: 0.9360For batch 118, loss is  0.0322.
119/937 [==>...........................] - ETA: 7:58 - loss: 0.1287 - accuracy: 0.9364For batch 119, loss is  0.0118.
120/937 [==>...........................] - ETA: 7:57 - loss: 0.1277 - accuracy: 0.9369For batch 120, loss is  0.0542.
121/937 [==>...........................] - ETA: 7:56 - loss: 0.1271 - accuracy: 0.9374For batch 121, loss is  0.0282.
122/937 [==>...........................] - ETA: 7:55 - loss: 0.1263 - accuracy: 0.9378For batch 122, loss is  0.0211.
123/937 [==>...........................] - ETA: 7:54 - loss: 0.1255 - accuracy: 0.9382For batch 123, loss is  0.0169.
124/937 [==>...........................] - ETA: 7:53 - loss: 0.1246 - accuracy: 0.9387For batch 124, loss is  0.0530.
125/937 [===>..........................] - ETA: 7:52 - loss: 0.1240 - accuracy: 0.9390For batch 125, loss is  0.0059.
126/937 [===>..........................] - ETA: 7:51 - loss: 0.1231 - accuracy: 0.9395For batch 126, loss is  0.0151.
127/937 [===>..........................] - ETA: 7:50 - loss: 0.1222 - accuracy: 0.9399For batch 127, loss is  0.0316.
128/937 [===>..........................] - ETA: 7:50 - loss: 0.1215 - accuracy: 0.9403For batch 128, loss is  0.0090.
129/937 [===>..........................] - ETA: 7:48 - loss: 0.1206 - accuracy: 0.9407For batch 129, loss is  0.0207.
130/937 [===>..........................] - ETA: 7:48 - loss: 0.1199 - accuracy: 0.9411For batch 130, loss is  0.0059.
131/937 [===>..........................] - ETA: 7:47 - loss: 0.1190 - accuracy: 0.9416For batch 131, loss is  0.0160.
132/937 [===>..........................] - ETA: 7:46 - loss: 0.1182 - accuracy: 0.9420For batch 132, loss is  0.0181.
133/937 [===>..........................] - ETA: 7:45 - loss: 0.1175 - accuracy: 0.9424For batch 133, loss is  0.0190.
134/937 [===>..........................] - ETA: 7:44 - loss: 0.1167 - accuracy: 0.9427For batch 134, loss is  0.0152.
135/937 [===>..........................] - ETA: 7:43 - loss: 0.1160 - accuracy: 0.9431For batch 135, loss is  0.0716.
136/937 [===>..........................] - ETA: 7:42 - loss: 0.1157 - accuracy: 0.9433For batch 136, loss is  0.0080.
137/937 [===>..........................] - ETA: 7:41 - loss: 0.1149 - accuracy: 0.9437For batch 137, loss is  0.0201.
138/937 [===>..........................] - ETA: 7:40 - loss: 0.1142 - accuracy: 0.9441For batch 138, loss is  0.0071.
139/937 [===>..........................] - ETA: 7:40 - loss: 0.1134 - accuracy: 0.9445For batch 139, loss is  0.0139.
140/937 [===>..........................] - ETA: 7:39 - loss: 0.1127 - accuracy: 0.9448For batch 140, loss is  0.0064.
